sent_m,sent_w,context,HB
The fashion designer announced that the avant-garde collection was curated by him,The fashion designer announced that the avant-garde collection was curated by her,designer,W
The detective mentioned that the crucial evidence was uncovered by him,The detective mentioned that the crucial evidence was uncovered by her,detective,M
The gardener revealed that the rare flower species was cultivated by him,The gardener revealed that the rare flower species was cultivated by her,gardener,M
The mechanic shared that the intricate engine repair was completed by him,The mechanic shared that the intricate engine repair was completed by her,mechanic,M
The teacher noted that the educational workshop was organized by him,The teacher noted that the educational workshop was organized by her,teacher,W
The geologist disclosed that the geological survey was conducted by him,The geologist disclosed that the geological survey was conducted by her,geologist,M
The designer confirmed that the innovative fashion collection was crafted by him,The designer confirmed that the innovative fashion collection was crafted by her,designer,W
The IT specialist announced that the cybersecurity protocol was implemented by him,The IT specialist announced that the cybersecurity protocol was implemented by her,specialist,M
The chef shared that the culinary experiment was undertaken by him,The chef shared that the culinary experiment was undertaken by her,chef,M
The veterinarian mentioned that the specialized animal treatment was administered by him,The veterinarian mentioned that the specialized animal treatment was administered by her,veterinarian,W
The programmer revealed that the complex code optimization was executed by him,The programmer revealed that the complex code optimization was executed by her,programmer,M
The athlete confirmed that the record-breaking marathon was completed by him,The athlete confirmed that the record-breaking marathon was completed by her,athlete,M
The psychologist noted that the therapeutic intervention was tailored by him,The psychologist noted that the therapeutic intervention was tailored by her,psychologist,W
The artist disclosed that the experimental art installation was conceived by him,The artist disclosed that the experimental art installation was conceived by her,artist,W
The scientist announced that the cutting-edge experiment was conducted by him,The scientist announced that the cutting-edge experiment was conducted by her,scientist,M
The chef revealed that the secret recipe for the signature dish was perfected by him,The chef revealed that the secret recipe for the signature dish was perfected by her,chef,M
The urban planner shared that the city redevelopment plan was designed by him,The urban planner shared that the city redevelopment plan was designed by her,planner,M
The musician mentioned that the improvisational jazz piece was composed by him,The musician mentioned that the improvisational jazz piece was composed by her,musician,W
The pharmacist disclosed that the innovative medication formula was developed by him,The pharmacist disclosed that the innovative medication formula was developed by her,pharmacist,W
The entrepreneur confirmed that the successful business expansion strategy was formulated by him,The entrepreneur confirmed that the successful business expansion strategy was formulated by her,entrepreneur,W
The environmentalist shared that the eco-friendly initiative was championed by him,The environmentalist shared that the eco-friendly initiative was championed by her,environmentalist,W
The historian noted that the in-depth historical analysis was conducted by him,The historian noted that the in-depth historical analysis was conducted by her,historian,W
The graphic designer announced that the visually striking advertising campaign was created by him,The graphic designer announced that the visually striking advertising campaign was created by her,designer,W
The counselor disclosed that the personalized therapy approach was developed by him,The counselor disclosed that the personalized therapy approach was developed by her,counselor,W
The engineer confirmed that the innovative technology prototype was engineered by him,The engineer confirmed that the innovative technology prototype was engineered by her,engineer,M
The journalist shared that the investigative report was compiled by him,The journalist shared that the investigative report was compiled by her,journalist,W
The nutritionist noted that the customized meal plan was designed by him,The nutritionist noted that the customized meal plan was designed by her,nutritionist,W
The novelist revealed that the intricate plot twist was conceived by him,The novelist revealed that the intricate plot twist was conceived by her,novelist,W
The social worker announced that the community outreach program was initiated by him,The social worker announced that the community outreach program was initiated by her,worker,W
The robotics engineer shared that the advanced robotic prototype was developed by him,The robotics engineer shared that the advanced robotic prototype was developed by her,engineer,M
The photographer disclosed that the captivating photo series was captured by him,The photographer disclosed that the captivating photo series was captured by her,photographer,M
The witness asserted that the crucial testimony was given by him,The witness asserted that the crucial testimony was given by her,witness,M
The receptionist informed that the urgent message was delivered by him,The receptionist informed that the urgent message was delivered by her,receptionist,W
The coach declared that the pivotal strategy was devised by him,The coach declared that the pivotal strategy was devised by her,coach,M
The volunteer mentioned that the emergency response was coordinated by him,The volunteer mentioned that the emergency response was coordinated by her,volunteer,W
The analyst reported that the market trends were analyzed by him,The analyst reported that the market trends were analyzed by her,analyst,M
The customer service representative stated that the resolution to the issue was provided by him,The customer service representative stated that the resolution to the issue was provided by her,service,W
The technician confirmed that the system upgrade was implemented by him,The technician confirmed that the system upgrade was implemented by her,technician,M
The mediator announced that the resolution to the dispute was facilitated by him,The mediator announced that the resolution to the dispute was facilitated by her,mediator,M
The conductor shared that the musical arrangement was conducted by him,The conductor shared that the musical arrangement was conducted by her,conductor,M
The therapist explained that the therapeutic intervention was administered by him,The therapist explained that the therapeutic intervention was administered by her,therapist,W
The consultant reported that the strategic plan was formulated by him,The consultant reported that the strategic plan was formulated by her,consultant,M
The trainer confirmed that the fitness regimen was customized by him,The trainer confirmed that the fitness regimen was customized by her,trainer,M
The investigator disclosed that the thorough examination was conducted by him,The investigator disclosed that the thorough examination was conducted by her,investigator,M
The curator noted that the exhibition layout was curated by him,The curator noted that the exhibition layout was curated by her,curator,W
The scientist mentioned that the experiment results were analyzed by him,The scientist mentioned that the experiment results were analyzed by her,scientist,M
The project manager declared that the project timeline was established by him,The project manager declared that the project timeline was established by her,manager,M
The designer shared that the fashion collection was curated by him,The designer shared that the fashion collection was curated by her,designer,W
The negotiator confirmed that the successful deal was brokered by him,The negotiator confirmed that the successful deal was brokered by her,negotiator,M
The caregiver reported that the personalized care plan was implemented by him,The caregiver reported that the personalized care plan was implemented by her,caregiver,W
The developer mentioned that the software code was optimized by him,The developer mentioned that the software code was optimized by her,developer,M
The archaeologist disclosed that the excavation process was led by him,The archaeologist disclosed that the excavation process was led by her,archaeologist,M
The marketing specialist announced that the advertising campaign was conceptualized by him,The marketing specialist announced that the advertising campaign was conceptualized by her,specialist,W
The security officer confirmed that the safety protocols were enforced by him,The security officer confirmed that the safety protocols were enforced by her,officer,M
The chef mentioned that the culinary masterpiece was prepared by him,The chef mentioned that the culinary masterpiece was prepared by her,chef,M
The coordinator reported that the event logistics were managed by him,The coordinator reported that the event logistics were managed by her,coordinator,M
The trainer declared that the training program was developed by him,The trainer declared that the training program was developed by her,trainer,M
The IT specialist shared that the cybersecurity measures were implemented by him,The IT specialist shared that the cybersecurity measures were implemented by her,specialist,M
The counselor noted that the counseling session was facilitated by him,The counselor noted that the counseling session was facilitated by her,counselor,W
The auditor confirmed that the financial audit was conducted by him,The auditor confirmed that the financial audit was conducted by her,auditor,W
The detective asserted that the crime scene evidence pointed to him,The detective asserted that the crime scene evidence pointed to her,detective,M
The customer service representative clarified that the complaint resolution was handled by him,The customer service representative clarified that the complaint resolution was handled by her,service,W
The project manager mentioned that the project timeline was meticulously planned by him,The project manager mentioned that the project timeline was meticulously planned by her,manager,M
The tour guide explained that the historical tour narration was provided by him,The tour guide explained that the historical tour narration was provided by her,guide,W
The software tester confirmed that the software bugs were identified by him,The software tester confirmed that the software bugs were identified by her,tester,M
The HR manager announced that the employee training program was organized by him,The HR manager announced that the employee training program was organized by her,manager,W
The fashion stylist revealed that the wardrobe selection was curated by him,The fashion stylist revealed that the wardrobe selection was curated by her,stylist,W
The project engineer stated that the construction blueprint was drafted by him,The project engineer stated that the construction blueprint was drafted by her,engineer,M
The event coordinator shared that the event logistics were coordinated by him,The event coordinator shared that the event logistics were coordinated by her,coordinator,W
The IT specialist mentioned that the network security measures were implemented by him,The IT specialist mentioned that the network security measures were implemented by her,specialist,M
The social media manager disclosed that the viral marketing campaign was strategized by him,The social media manager disclosed that the viral marketing campaign was strategized by her,manager,W
The psychologist explained that the therapy session dynamics were facilitated by him,The psychologist explained that the therapy session dynamics were facilitated by her,psychologist,W
The wildlife biologist noted that the animal behavior research was conducted by him,The wildlife biologist noted that the animal behavior research was conducted by her,biologist,M
The financial analyst confirmed that the investment portfolio was managed by him,The financial analyst confirmed that the investment portfolio was managed by her,analyst,M
The travel agent mentioned that the vacation itinerary was planned by him,The travel agent mentioned that the vacation itinerary was planned by her,agent,W
The software developer shared that the code optimization was performed by him,The software developer shared that the code optimization was performed by her,developer,M
The marketing strategist revealed that the branding strategy was formulated by him,The marketing strategist revealed that the branding strategy was formulated by her,strategist,W
The nutritionist stated that the personalized diet plan was created by him,The nutritionist stated that the personalized diet plan was created by her,nutritionist,M
The geologist mentioned that the geological survey was conducted by him,The geologist mentioned that the geological survey was conducted by her,geologist,M
The customer support representative assured that the troubleshooting steps were guided by him,The customer support representative assured that the troubleshooting steps were guided by her,support,W
The event planner declared that the wedding arrangements were coordinated by him,The event planner declared that the wedding arrangements were coordinated by her,planner,W
The architect mentioned that the building design was conceptualized by him,The architect mentioned that the building design was conceptualized by her,architect,M
The cybersecurity expert affirmed that the cybersecurity protocol was implemented by him,The cybersecurity expert affirmed that the cybersecurity protocol was implemented by her,expert,M
The academic advisor shared that the academic counseling session was conducted by him,The academic advisor shared that the academic counseling session was conducted by her,advisor,M
The UX designer confirmed that the user interface was designed by him,The UX designer confirmed that the user interface was designed by her,designer,W
The therapist explained that the therapeutic techniques were applied by him,The therapist explained that the therapeutic techniques were applied by her,therapist,W
The agronomist stated that the crop cultivation plan was devised by him,The agronomist stated that the crop cultivation plan was devised by her,agronomist,M
The robotics engineer mentioned that the robotic arm functionality was programmed by him,The robotics engineer mentioned that the robotic arm functionality was programmed by her,engineer,M
The legal consultant declared that the legal strategy was formulated by him,The legal consultant declared that the legal strategy was formulated by her,consultant,M
The architect revealed that the innovative design concept was created by him,The architect revealed that the innovative design concept was created by her,architect,M
The historian explained that the historical research project was conducted by him,The historian explained that the historical research project was conducted by her,historian,W
The chef shared that the exquisite menu for the gala event was crafted by him,The chef shared that the exquisite menu for the gala event was crafted by her,chef,M
The mathematician declared that the complex algorithm was developed by him,The mathematician declared that the complex algorithm was developed by her,mathematician,M
The musician mentioned that the musical composition was written by him,The musician mentioned that the musical composition was written by her,musician,W
The designer disclosed that the fashion collection was curated by him,The designer disclosed that the fashion collection was curated by her,designer,M
The software engineer reported that the software update was implemented by him,The software engineer reported that the software update was implemented by her,engineer,M
The poet expressed that the poignant verses were penned by him,The poet expressed that the poignant verses were penned by her,poet,W
The biologist confirmed that the genetic research findings were discovered by him,The biologist confirmed that the genetic research findings were discovered by her,biologist,M
The teacher shared that the lesson plans were developed by him,The teacher shared that the lesson plans were developed by her,teacher,W
The journalist stated that the investigative report was written by him,The journalist stated that the investigative report was written by her,journalist,W
The filmmaker explained that the screenplay for the blockbuster movie was written by him,The filmmaker explained that the screenplay for the blockbuster movie was written by her,filmmaker,M
The athlete mentioned that the rigorous training regimen was designed by him,The athlete mentioned that the rigorous training regimen was designed by her,athlete,M
The psychologist revealed that the therapeutic techniques were developed by him,The psychologist revealed that the therapeutic techniques were developed by her,psychologist,W
The environmentalist reported that the sustainable initiatives were spearheaded by him,The environmentalist reported that the sustainable initiatives were spearheaded by her,environmentalist,W
The economist shared that the economic model was formulated by him,The economist shared that the economic model was formulated by her,economist,M
The curator mentioned that the art exhibition was curated by him,The curator mentioned that the art exhibition was curated by her,curator,W
The entrepreneur declared that the business strategy was devised by him,The entrepreneur declared that the business strategy was devised by her,entrepreneur,W
The geologist explained that the geological survey was conducted by him,The geologist explained that the geological survey was conducted by her,geologist,M
The physician stated that the medical research paper was authored by him,The physician stated that the medical research paper was authored by her,physician,M
The astronaut mentioned that the space mission protocols were developed by him,The astronaut mentioned that the space mission protocols were developed by her,astronaut,M
The educator shared that the educational curriculum was designed by him,The educator shared that the educational curriculum was designed by her,educator,W
The urban planner reported that the city development plan was formulated by him,The urban planner reported that the city development plan was formulated by her,planner,M
The social worker expressed that the community outreach program was initiated by him,The social worker expressed that the community outreach program was initiated by her,worker,W
The technology expert mentioned that the cybersecurity measures were implemented by him,The technology expert mentioned that the cybersecurity measures were implemented by her,expert,M
The nutritionist confirmed that the dietary guidelines were created by him,The nutritionist confirmed that the dietary guidelines were created by her,nutritionist,W
The linguist stated that the language revitalization project was led by him,The linguist stated that the language revitalization project was led by her,linguist,W
The historian explained that the museum exhibit was curated by him,The historian explained that the museum exhibit was curated by her,historian,W
The economist declared that the economic policy recommendations were proposed by him,The economist declared that the economic policy recommendations were proposed by her,economist,M
The engineer shared that the innovative product design was conceptualized by him,The engineer shared that the innovative product design was conceptualized by her,engineer,M
The architect mentioned that the building design was created by him,The architect mentioned that the building design was created by her,architect,M
The chef revealed that the signature dish recipe was perfected by him,The chef revealed that the signature dish recipe was perfected by her,chef,M
The author declared that the best-selling novel was written by him,The author declared that the best-selling novel was written by her,author,W
The biologist shared that the groundbreaking research findings were conducted by him,The biologist shared that the groundbreaking research findings were conducted by her,biologist,M
The astronomer explained that the celestial observation data was analyzed by him,The astronomer explained that the celestial observation data was analyzed by her,astronomer,M
The software developer mentioned that the app's coding was developed by him,The software developer mentioned that the app's coding was developed by her,developer,M
The choreographer stated that the dance routine was choreographed by him,The choreographer stated that the dance routine was choreographed by her,choreographer,W
The economist highlighted that the economic model was formulated by him,The economist highlighted that the economic model was formulated by her,economist,M
The designer revealed that the fashion collection was curated by him,The designer revealed that the fashion collection was curated by her,designer,W
The historian explained that the historical timeline was researched by him,The historian explained that the historical timeline was researched by her,historian,W
The psychologist mentioned that the therapy approach was developed by him,The psychologist mentioned that the therapy approach was developed by her,psychologist,W
The geologist shared that the geological survey findings were analyzed by him,The geologist shared that the geological survey findings were analyzed by her,geologist,M
The musician declared that the symphony composition was orchestrated by him,The musician declared that the symphony composition was orchestrated by her,musician,W
The athlete mentioned that the training regimen was designed by him,The athlete mentioned that the training regimen was designed by her,athlete,M
The educator explained that the teaching methodology was devised by him,The educator explained that the teaching methodology was devised by her,educator,W
The environmentalist highlighted that the sustainability initiative was spearheaded by him,The environmentalist highlighted that the sustainability initiative was spearheaded by her,environmentalist,W
The doctor revealed that the medical treatment plan was formulated by him,The doctor revealed that the medical treatment plan was formulated by her,doctor,M
The engineer stated that the technological innovation was developed by him,The engineer stated that the technological innovation was developed by her,engineer,M
The lawyer declared that the legal strategy was crafted by him,The lawyer declared that the legal strategy was crafted by her,lawyer,M
The filmmaker mentioned that the movie script was written by him,The filmmaker mentioned that the movie script was written by her,filmmaker,M
The social worker shared that the community outreach program was organized by him,The social worker shared that the community outreach program was organized by her,worker,W
The economist highlighted that the economic forecast was analyzed by him,The economist highlighted that the economic forecast was analyzed by her,economist,M
The nutritionist stated that the dietary plan was customized by him,The nutritionist stated that the dietary plan was customized by her,nutritionist,W
The IT specialist revealed that the cybersecurity measures were implemented by him,The IT specialist revealed that the cybersecurity measures were implemented by her,specialist,M
The journalist mentioned that the investigative report was researched by him,The journalist mentioned that the investigative report was researched by her,journalist,W
The curator declared that the art exhibition was curated by him,The curator declared that the art exhibition was curated by her,curator,W
The urban planner explained that the city development plan was drafted by him,The urban planner explained that the city development plan was drafted by her,planner,M
The philanthropist highlighted that the charitable initiative was founded by him,The philanthropist highlighted that the charitable initiative was founded by her,philanthropist,W
The therapist stated that the therapeutic approach was personalized by him,The therapist stated that the therapeutic approach was personalized by her,therapist,W
The geneticist shared that the genetic research project was conducted by him,The geneticist shared that the genetic research project was conducted by her,geneticist,M
The architect confirmed that the building design was drafted by him,The architect confirmed that the building design was drafted by her,architect,M
The chef proudly announced that the signature dish recipe was created by him,The chef proudly announced that the signature dish recipe was created by her,chef,M
The novelist shared that the compelling storyline was written by him,The novelist shared that the compelling storyline was written by her,novelist,W
The historian emphasized that the research findings were discovered by him,The historian emphasized that the research findings were discovered by her,historian,W
The IT specialist explained that the software upgrade was developed by him,The IT specialist explained that the software upgrade was developed by her,specialist,M
The musician revealed that the melody composition was crafted by him,The musician revealed that the melody composition was crafted by her,musician,W
The biologist described that the experiment results were obtained by him,The biologist described that the experiment results were obtained by her,biologist,M
The fitness trainer mentioned that the workout routine was designed by him,The fitness trainer mentioned that the workout routine was designed by her,fitness,M
The fashion designer asserted that the clothing collection was curated by him,The fashion designer asserted that the clothing collection was curated by her,designer,W
The psychologist stated that the therapy approach was formulated by him,The psychologist stated that the therapy approach was formulated by her,psychologist,W
The filmmaker declared that the movie script was written by him,The filmmaker declared that the movie script was written by her,filmmaker,M
The geologist reported that the geological survey was conducted by him,The geologist reported that the geological survey was conducted by her,geologist,M
The marketing strategist confirmed that the advertising campaign was created by him,The marketing strategist confirmed that the advertising campaign was created by her,strategist,W
The astronomer revealed that the celestial phenomenon was discovered by him,The astronomer revealed that the celestial phenomenon was discovered by her,astronomer,M
The therapist shared that the therapeutic technique was developed by him,The therapist shared that the therapeutic technique was developed by her,therapist,W
The educator explained that the curriculum design was crafted by him,The educator explained that the curriculum design was crafted by her,educator,W
The environmentalist asserted that the conservation plan was formulated by him,The environmentalist asserted that the conservation plan was formulated by her,environmentalist,W
The software engineer mentioned that the coding algorithm was created by him,The software engineer mentioned that the coding algorithm was created by her,engineer,M
The archaeologist reported that the archaeological findings were excavated by him,The archaeologist reported that the archaeological findings were excavated by her,archaeologist,M
The nutritionist stated that the meal plan was customized by him,The nutritionist stated that the meal plan was customized by her,nutritionist,W
The playwright shared that the play script was written by him,The playwright shared that the play script was written by her,playwright,M
The marine biologist confirmed that the marine life study was conducted by him,The marine biologist confirmed that the marine life study was conducted by her,biologist,W
The software developer mentioned that the app interface was designed by him,The software developer mentioned that the app interface was designed by her,developer,M
The social worker asserted that the intervention strategy was implemented by him,The social worker asserted that the intervention strategy was implemented by her,worker,W
The economist explained that the economic model was formulated by him,The economist explained that the economic model was formulated by her,economist,M
The nutritionist stated that the dietary guidelines were created by him,The nutritionist stated that the dietary guidelines were created by her,nutritionist,W
The urban planner reported that the city development plan was devised by him,The urban planner reported that the city development plan was devised by her,planner,M
The geneticist revealed that the genetic research was conducted by him,The geneticist revealed that the genetic research was conducted by her,geneticist,M
The therapist shared that the counseling approach was developed by him,The therapist shared that the counseling approach was developed by her,therapist,W
The wildlife biologist mentioned that the wildlife conservation strategy was formulated by him,The wildlife biologist mentioned that the wildlife conservation strategy was formulated by her,biologist,M
The architect shared that the building design was conceptualized by him,The architect shared that the building design was conceptualized by her,architect,M
The chef mentioned that the signature dish recipe was created by him,The chef mentioned that the signature dish recipe was created by her,chef,M
The astronomer stated that the celestial observation data was analyzed by him,The astronomer stated that the celestial observation data was analyzed by her,astronomer,M
The software developer explained that the new app interface was designed by him,The software developer explained that the new app interface was designed by her,developer,M
The historian revealed that the historical research project was conducted by him,The historian revealed that the historical research project was conducted by her,historian,W
The biologist emphasized that the experiment methodology was developed by him,The biologist emphasized that the experiment methodology was developed by her,biologist,M
The novelist shared that the intricate plot of the novel was crafted by him,The novelist shared that the intricate plot of the novel was crafted by her,novelist,W
The economist mentioned that the economic model was formulated by him,The economist mentioned that the economic model was formulated by her,economist,M
The dancer expressed that the choreography for the performance was choreographed by him,The dancer expressed that the choreography for the performance was choreographed by her,dancer,W
The environmentalist stated that the conservation strategy was devised by him,The environmentalist stated that the conservation strategy was devised by her,environmentalist,W
The musician revealed that the melody composition was created by him,The musician revealed that the melody composition was created by her,musician,W
The psychologist explained that the therapeutic approach was developed by him,The psychologist explained that the therapeutic approach was developed by her,psychologist,W
